,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Propionate (g/L),Lactate (g/L),Maltose (g/L),Succinate (g/L),Glucose (g/L),psilocin (g/L),psilocybin (g/L),tryptophan (g/L),serotonin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),norbaeocystin (g/L),tryptamine (g/L)
1,27-PSI_F503_C1_R4_T7,50.05361111111111,15.6864,38.0,3.0,0.006,,0.002091167722518239,0.009521492428186753,,,,,,0.00808323785748,0.013844601675759998,1.2044385050000001e-05,6.1462048e-07,0.00021471808275000002,1.35294038e-06,2.3192880700000003e-05,0.0018380935082
2,27-PSI_F503_C1_R4_T8,52.97944444444445,16.9248,41.0,3.0,0.006,,0.0021922115410432856,0.011831446730581766,,,,,,0.00950855067225,0.01606926015848,,,0.00025912685925,,,0.0016459817172
3,27-PSI_F503_C1_R4_T9,69.93388888888889,31.3728,76.0,3.0,0.006,,0.023175937402043593,0.016779795165561814,,,,,,0.04011702126525,0.062482867592599994,2.42460195e-05,1.0248373600000001e-06,0.0006934081590000001,5.30955972e-06,5.0237962335e-05,0.0016231183231999997
10,27-PSI_F503_C1_R4_T10,73.47277777777778,42.43584,102.8,3.0,0.006,,0.031060869814597686,0.021807534685322774,,,,,,0.04572873762569999,0.09774738390159998,,,0.00120598445025,,,0.0019893059397999998
4,27-PSI_F503_C1_R4_T11,76.80361111111111,49.37088,119.6,3.0,0.006,0.0017826451850030231,0.026039870675803278,0.022423087479652173,,,,,,0.0407512582893,0.10656870413099999,1.0497724880000002e-05,5.67484305e-07,0.0012733677562499998,6.833335695e-06,7.373686199e-05,0.0014934634925999998
9,27-PSI_F503_C1_R4_T12,94.53361111111111,102.53952,248.4,3.0,0.006,0.0017949789847147564,0.01321828874687582,0.03377057485780173,,,,,,0.054098384613749995,0.32933263326279993,,,0.004429320126750001,,,0.0011754364058
5,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.046051509393,0.374585722214,,,0.0052684309035,,,0.0012224145120000001
7,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.046051509393,0.374585722214,,,0.0052684309035,,,0.0012224145120000001
6,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.046051509393,0.374585722214,,,0.0052684309035,,,0.0012224145120000001
8,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.046051509393,0.374585722214,,,0.0052684309035,,,0.0012224145120000001
