,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
51,27-PSI_F503_C1_R4,Ethanol (pseudo),Biomass (pseudo),3,0.000145651,7.77732923892739e-05,0.2045381608526006,0.000128455,0.050174965,7.308035792277898e-06,,,,,,,,
52,27-PSI_F503_C1_R4,Formate (pseudo),Biomass (pseudo),3,0.000663293,0.000362463,0.7369334621911644,0.000105916,0.050174965,3.328068381693599e-05,,,,,,,,
53,27-PSI_F503_C1_R4,Glucose (pseudo),Biomass (pseudo),3,,,,,0.050174965,,,,,,,,,
54,27-PSI_F503_C1_R4,Lactate (pseudo),Biomass (pseudo),3,,,,,0.050174965,,,,,,,,,
55,27-PSI_F503_C1_R4,Maltose (pseudo),Biomass (pseudo),3,,,,,0.050174965,,,,,,,,,
56,27-PSI_F503_C1_R4,Propionate (pseudo),Biomass (pseudo),3,,,,,0.050174965,,,,,,,,,
57,27-PSI_F503_C1_R4,Succinate (pseudo),Biomass (pseudo),3,,,,,0.050174965,,,,,,,,,
58,27-PSI_F503_C1_R4,norbaeocystin (pseudo),Biomass (pseudo),3,1.4945049980340172e-06,1.4350608123516466e-07,0.9950243648633176,1.0568291340245981e-07,0.050174965,7.4986735614275e-08,,,,,,,,
59,27-PSI_F503_C1_R4,psilocin (pseudo),Biomass (pseudo),3,0.000922373,0.000111079,0.6639877929928177,0.000175364,0.050174965,4.628001418837478e-05,,,,,,,,
60,27-PSI_F503_C1_R4,psilocybin (pseudo),Biomass (pseudo),3,0.006334886,0.00054824,0.869340817,0.000656371,0.050174965,0.000317853,,,,,,,,
61,27-PSI_F503_C1_R4,serotonin (pseudo),Biomass (pseudo),3,9.449970589995847e-10,1.3192740282271029e-10,0.004572952,1.3942377610760412e-08,0.050174965,4.741519413631052e-11,,,,,,,,
62,27-PSI_F503_C1_R4,tryptamine (pseudo),Biomass (pseudo),3,8.82333703204414e-06,1.3547253213599168e-06,0.4326532064860682,2.7003694732094303e-06,0.050174965,4.427106246736527e-07,,,,,,,,
63,27-PSI_F503_C1_R4,tryptophan (pseudo),Biomass (pseudo),3,4.296211019657196e-09,5.175144015452306e-10,0.000110661,4.083797339457538e-07,0.050174965,2.1556223652511075e-10,,,,,,,,
64,27-PSI_F503_C2_R1,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,2.4855939091893546e-07,3.470042004770338e-08,0.9935439890050748,2.0036356789245818e-08,0.052249537,1.2987113207702622e-08,,,,,,,,
65,27-PSI_F503_C2_R1,Acetate (pseudo),Biomass (pseudo),3,7.935117239573033e-06,3.306298849822097e-06,0.5253930182019252,3.372820728652769e-06,0.052249537,4.1460620548566426e-07,,,,,,,,
66,27-PSI_F503_C2_R1,Baeocystine (pseudo),Biomass (pseudo),3,4.684813454127982e-05,4.264831565234466e-06,0.9012753383394706,5.481903572948183e-06,0.052249537,2.4477933608057237e-06,,,,,,,,
67,27-PSI_F503_C2_R1,Ethanol (pseudo),Biomass (pseudo),3,0.000228644,0.000122089,0.597957323,6.628520213731313e-05,0.052249537,1.194656486668208e-05,,,,,,,,
68,27-PSI_F503_C2_R1,Formate (pseudo),Biomass (pseudo),3,0.000393235,0.000214887,0.9889438701769628,1.470019998849184e-05,0.052249537,2.0546362376226973e-05,,,,,,,,
69,27-PSI_F503_C2_R1,Glucose (pseudo),Biomass (pseudo),3,1.9805749228615992,0.2704381832948232,0.998798629,0.030718911,0.052249537,0.1034841236311581,,,,,,,,
70,27-PSI_F503_C2_R1,Lactate (pseudo),Biomass (pseudo),3,,,,,0.052249537,,,,,,,,,
